Engineered	Bioreactor	Continuous culture	Marine intertidal flat sediment inoculum	Wadden Sea-Germany
Engineered	Bioreactor	Continuous culture	Marine sediment inoculum	Wadden Sea-Germany
Engineered	Bioreactor	Continuous culture	Unclassified	Unclassified
Engineered	Bioreactor	Unclassified	Unclassified	Unclassified
Engineered	Bioremediation	Hydrocarbon	Benzene	Bioreactor
Engineered	Bioremediation	Hydrocarbon	Unclassified	Unclassified
Engineered	Bioremediation	Metal	Unclassified	Unclassified
Engineered	Bioremediation	Persistent organic pollutants (POP)	Polycyclic aromatic hydrocarbons	Unclassified
Engineered	Bioremediation	Terephthalate	Wastewater	Activated sludge
Engineered	Bioremediation	Terephthalate	Wastewater	Bioreactor
Engineered	Bioremediation	Terephthalate	Wastewater	Unclassified
Engineered	Bioremediation	Tetrachloroethylene and derivatives	Chloroethene	Bioreactor
Engineered	Bioremediation	Tetrachloroethylene and derivatives	Chloroethene	Unclassified
Engineered	Bioremediation	Tetrachloroethylene and derivatives	Tetrachloroethylene	Bioreactor
Engineered	Bioremediation	Tetrachloroethylene and derivatives	Tetrachloroethylene	Unclassified
Engineered	Bioremediation	Unclassified	Unclassified	Unclassified
Engineered	Biotransformation	Microbial enhanced oil recovery	Unclassified	Unclassified
Engineered	Biotransformation	Microbial solubilization of coal	Unclassified	Unclassified
Engineered	Biotransformation	Mixed alcohol bioreactor	Unclassified	Unclassified
Engineered	Biotransformation	Unclassified	Unclassified	Unclassified
Engineered	Built environment	Unclassified	Unclassified	Unclassified
Engineered	Food production	Dairy products	Unclassified	Unclassified
Engineered	Food production	Fermented beverages	Unclassified	Unclassified
Engineered	Food production	Fermented seafood	Unclassified	Unclassified
Engineered	Food production	Fermented vegetables	Unclassified	Unclassified
Engineered	Food production	Silage fermentation	Unclassified	Unclassified
Engineered	Food production	Unclassified	Unclassified	Unclassified
Engineered	Industrial production	Engineered product	Unclassified	Unclassified
Engineered	Industrial production	Unclassified	Unclassified	Unclassified
Engineered	Lab enrichment	Defined media	Aerobic media	Unclassified
Engineered	Lab enrichment	Defined media	Anaerobic media	Unclassified
Engineered	Lab enrichment	Defined media	Marine media	Algoconsortia
Engineered	Lab enrichment	Defined media	Marine media	Unclassified
Engineered	Lab enrichment	Defined media	Unclassified	Unclassified
Engineered	Lab enrichment	Unclassified	Unclassified	Unclassified
Engineered	Lab enrichment	Undefined media	Unclassified	Unclassified
Engineered	Lab Synthesis	Genetic cross	Unclassified	Unclassified
Engineered	Modeled	Simulated communities (DNA mixture)	Unclassified	Unclassified
Engineered	Modeled	Simulated communities (microbial mixture)	Unclassified	Unclassified
Engineered	Modeled	Simulated communities (sequence read mixture)	Sanger	Unclassified
Engineered	Modeled	Simulated communities (sequence read mixture)	Unclassified	Unclassified
Engineered	Modeled	Unclassified	Unclassified	Unclassified
Engineered	Solid waste	Composting	Grass	Bioreactor
Engineered	Solid waste	Composting	Grass	Unclassified
Engineered	Solid waste	Composting	Unclassified	Bioreactor
Engineered	Solid waste	Composting	Unclassified	Unclassified
Engineered	Solid waste	Composting	Wood	Bioreactor
Engineered	Solid waste	Landfill	Unclassified	Unclassified
Engineered	Solid waste	Solid animal waste	Unclassified	Unclassified
Engineered	Solid waste	Unclassified	Unclassified	Unclassified
Engineered	Unclassified	Unclassified	Unclassified	Unclassified
Engineered	Wastewater	Activated Sludge	Unclassified	Unclassified
Engineered	Wastewater	Industrial wastewater	Agricultural wastewater	Unclassified
Engineered	Wastewater	Industrial wastewater	Landfill leachate	Unclassified
